QN#;Heading;Requirement;Citation;Related Documents
7.19;Ionizing Radiation;The supervised area has been periodically checked, delineated appropriately and provided with signs regulating access to it.;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 26";
7.20;Ionizing Radiation;The facility ensures that both supervised and controlled areas are delineated;"Executive Decree 91-05 of 19 January 1991 on General Prescriptions for Protection Relative to Hygiene and Safety in Workplaces; Art. 27";
7.21;Ionizing Radiation;Employers ensure that each worker's exposure to ionizing radiation in controlled areas is measured using an individual dosimeter.;"Interministerial Order of 20 January 2011 on Individual Dosimeter Use; Art. 3";*Individual medical records showing dosimetry results
7.22;Ionizing Radiation;If the facility has workers exposed to x-rays, gamma rays, neutrons, charged particle beams and energy beta in excess of 100 kiloelectron volts (KeV), the employer ensures that external individual dosimeters are used to measure the level of exposure of such workers to ionizing radiation.;"Interministerial Order of 20 January 2011 on Individual Dosimeter Use; Art. 5";*Records of external individual dosimeters
7.23;Ionizing Radiation;If the facility assigns workers to positions that expose them to ionizing radiation, it has obtained the attestation of the work physician on their fitness to take such jobs.;"Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 3";*Evidence on the attestation of the work physician on the ability of workers to carry out duties exposing them to ionizing radiation
7.24;Ionizing Radiation;If the facility has workers exposed to ionizing radiation, it ensures that they undergo regular medical testing.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 18; Art. 19
Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 4; Art. 8; Art. 10, 11, and 12";*Records of medical examinations
7.25;Ionizing Radiation;If the facility has workers exposed to ionizing radiation, it keeps their medical files up-to-date with the results of the latest medical tests conducted on them.;"Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 7";*Workers individual medical files
7.26;Ionizing Radiation;If the facility employs workers in positions that expose them to ionizing radiation, it ensures that such workers are informed on the hazards associated with the exposure to ionizing radiation and the need for following the regular medical examinations and the protection measure adopted in the facility after every medical examination they undertake.;"Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 6";*Evidence indicating the communication of information on the hazards associated with the exposure to ionizing radiation to the workers exposed to such radiation
7.27;Ionizing Radiation;If the facility intends to employ workers in positions that expose them to ionizing radiation, it ensures they undergo additional medical examinations before they start their work.;"Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 13";*Workers individual medical files
7.28;Ionizing Radiation;The facility ensures that the work physician conducts medical tests on the exposed workers and provide them with the necessary treatment after the occurrence of an industrial accident that leads to an excessive exposure to ionizing radiation.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 18
Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 15";
7.29;Ionizing Radiation;If the facility suffered from an industrial accident leading to excessive exposure to ionizing radiation, it ensures that the work physician and the radiation protection expert conduct an investigation on the causes of such accident.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 18
Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 19";*Records on the investigations conducted after the occurrence of industrial accidents leading to the excessive exposure to ionizing radiation
7.30;Ionizing Radiation;If an industrial accident occurred at the facility and it lead to an excessive exposure of workers to ionizing radiation, it eliminates the reasons that cause such accident after conducting the appropriate investigations.;"Presidential Decree 05-117 of 11 April 2005 on Protection of Workers Against Ionizing Radiation.; Art. 18
Order the Minister of Ministry of Health, Population, and Hospital Reform of 10 November 2015 concerning the medical supervision on workers exposed to ionizing radiation; Art. 19";*Records on the investigations conducted after the occurrence of industrial accidents leading to the excessive exposure to ionizing radiation
7.31;Ionizing Radiation;If the company undertakes activities in regulated areas, it appoints a radio-protection officer to perform the signage of the regulated areas.;"Interministerial Order of 20 January 2011 Regulating Specific Signaling in Regulated Areas containing Ionizing Radiation Sources; Article 3";
